Tweet_text,Viral
RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…,1
RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter http://t.co/8ZGdY6lPCT,1
RT @BernieSanders: Tom Hanks. Finally. Somebody who makes some sense. #GOPDebate #DebateWithBernie,1
"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq",1
RT @AdamSmith_USA: democrats watching the #GOPDebate http://t.co/MuSUto1iRh,1
RT @HillaryClinton: Missing Jon Stewart already. #GOPdebate #JonVoyage -H,1
"RT @RealBenCarson: May the Lord guide my words tonight, let His wisdom be my thoughts. #GOPDebate",1
"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…",1
RT @deray: Trump literally said that he donates to politicians and then calls them later to get what he wants. He literally just said that.…,1
RT @BernieSanders: Oh. It was just a movie trailer. #GOPDebate #DebateWithBernie,1
RT @BernieSanders: Still waiting. Will Fox ask if it's appropriate for billionaires to buy elections? #DebateWithBernie #GOPDebate,1
RT @pattonoswalt: I want @BernieSanders to quietly walk out onto this stage and five-point-palm-exploding-heart all these hollow beasts. #G…,1
RT @withlove_eb: Ben Carson is at the #GOPDebate like.... http://t.co/CM6Ya8NQEV,1
"RT @PhillyD: I went to a gay wedding. 
""Applause""
And there were black people there too!
""Standing ovation""
#GOPDebate",1
RT @pattonoswalt: Donald Trump's views on immigration are based solely on the first 8 minutes of SCARFACE. #GOPDebate,1
"RT @feministabulous: There's nothing like listening to ten dudes who will never need an abortion, talk about whether I should have a right …",1
"RT @feministabulous: If you ""hate abortion"" then you shouldn't defund Planned Parenthood because that's a surefire way to increase abortion…",1
"RT @pattonoswalt: ""Kill people and break things,"" Huckabee just described the GOP. #GOPDebate",1
"RT @rebleber: Not mentioned in the #GOPdebate:
Voting rights
Climate change
Gun violence
Police shootings
Student debt
Inequality",1
"RT @pattonoswalt: ""That concludes our debate! Please welcome the Koch Brothers who will choose an ideological broodmare from our whore-stab…",1
"RT @billmaher: Jesus, this is the worst production of Glengarry Glen Ross I've ever seen #GOPDebate",1
"RT @pattonoswalt: My daughter, just now: ""Can't we watch CUPCAKE WARS?""
Me: ""We are, sweetie. We are."" #GOPDebate",1
"RT @sallykohn: Hey look, it’s 10 men standing on a stage arguing why they should get to control women’s bodies and choices. #GOPDebate",1
"RT @pattonoswalt: ""Jesus...good guy. I would've sealed his tomb better. Cheap craftsmanship, a boulder that can just be rolled away."" -- Tr…",1
"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…",1
RT @BHowl_: How come there's no talk about climate change? Has anyone here even seen California right now? #GOPDebate #DebateWithBernie,1
"RT @billmaher: Ben Carson doubts HIllary will be the Dem nominee?? Ben, do you still have your brain-cutting tools? And a mirror? OK, lie d…",1
RT @deray: Ben Carson essentially just said race doesn't matter. #GOPDebate,1
"RT @DanScavino: #GOPDebate Winner!
Drudge 50% (187K) @realDonaldTrump 
TIME 46% (25K) @realDonaldTrump 
FOXSD 49% @realDonaldTrump http://t…",1
RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD,1
RT @DesiJed: Hillary right now #GOPDebate http://t.co/mjsz7LWotz,1
RT @billmaher: Enough with hating on Trump for being misogynist! Get to the part where these 10 guys debate whether Amy Schumer is fuckable…,1
"RT @Franklin_Graham: As you watch the #GOPDebate, pray for the future of this nation and that America would turn back to God. #PrayforAmeri…",1
"RT @zachbraff: Anyone wanna watch the #GOPDebate ? I have weed, chips and guac.",1
"RT @pattonoswalt: If Trump is against ""p.c. culture,"" I'm suddenly 100% for it. Not even kidding. What a howling shit-cave of a human. #GOP…",1
RT @MattyIceAZ: IRONY: Watching 10 men debate women's right to choose. #GOPDebate,1
RT @AlexAllTimeLow: Facebook logo for president. #GOPDebate,1
"RT @billmaher: Good for you, Megyn Kelly, calling Ben Carson an idiot right off the bat. #GOPDebate",1
RT @pattonoswalt: They're talking about Hilary like she's John Wick. I love it. #GOPDebate,1
"RT @pattonoswalt: ""Have any of you received a word from God?"" = ""Are any of you soup-sandwich crazy?"" #GOPDebate",1
RT @richardroeper: Hillary Clinton right now. #GOPDebate http://t.co/RFqoPQbzGk,1
RT @_Snape_: Muggles are a joke. #GOPDebate,1
"RT @FrankLuntz: The biggest (pleasant) surprise in tonight’s #GOPDebate was Ben Carson. #KellyFile",1
RT @CarlyFiorina: The highest calling of leadership is to challenge the status quo &amp; unlock potential in others. #GOPDebate. #Carly2016,1
RT @NotBillWalton: The Straight Outta Compton trailer that just came on spent more time on police brutality than the #GOPDebate did.,1
RT @tedcruz: What we need is a Commander-in-Chief that makes it clear if you join ISIS then you are signing your death warrant #GOPDebate #…,1
"RT @deray: Before the #GOPDebate began, didn't the moderators say that 8 million ppl were discussing ""racial issues""? What happened to thos…",1
"RT @JamilSmith: Ben Carson says that folks are trying to start a race war. Is he talking about #BlackLivesMatter, or folks like Dylann Roof…",1
"RT @pattonoswalt: Despite what Huckabee says, I always make sure my prostitute AND her pimp pay FICA and pension. #GOPDebate",1
RT @_youhadonejob: Donald Trumps hair arrives early for the Republican Party presidential debate. #GOPDebate http://t.co/cQuPKRyBse,1
RT @ColMorrisDavis: Amusing to hear men who chose not to serve in the military talk tough about using other people's kids to backup their b…,1
